product_id,title,autmog_url,mechanism,auto_classification,manual_override,notes
7183752331451,38 464 Brass - ISO G2 (Parker),https://www.autmog.com/products/38-brass-iso-g2,Twist,Unknown,Clipless,
7342169161915,38 464 Brass - No Rings - Pilot G2 (Rollerball) - Brass Clip,https://www.autmog.com/products/38-464-brass-no-rings-pilot-g2-rollerball-brass-clip,Twist,Clipped,,
7303253065915,38 464 Brass - Pilot G2 (Rollerball),https://www.autmog.com/products/38-464-brass-pilot-g2-rollerball,Twist,Unknown,Clipless,
7303323058363,38 464 Brass Smooth Body- Pilot G2 (Rollerball),https://www.autmog.com/products/38-464-brass-smooth-body-pilot-g2-rollerball,Twist,Unknown,Clipless,
7183720906939,38 Aluminum - ISO G2 (Parker),https://www.autmog.com/products/aluminum-38-parker,Twist,Unknown,Clipless,
7226983743675,38 Aluminum - ISO G2 (Parker) Smooth Body - Aluminum Clip,https://www.autmog.com/products/38-aluminum-iso-g2-parker-smooth-body-aluminum-clip,Twist,Clipped,,
7183697477819,38 Aluminum - Rollerball (Pilot G2),https://www.autmog.com/products/aluminum-38-rollerball,Twist,Unknown,Clipless,
7231418171579,38 Aluminum Round Nose - Ballpoint ISO G2 (Parker) - Brass Clip,https://www.autmog.com/products/38-aluminum-round-nose-ballpoint-iso-g2-parker-brass-clip,Twist,Clipped,,
7322212368571,38 Aluminum Smooth Body - Rollerball (Pilot G2),https://www.autmog.com/products/38-aluminum-smooth-body-rollerball-pilot-g2,Twist,Unknown,Clipless,
7242603331771,38 Copper - Ballpoint ISO G2 (Parker) - Round Nose,https://www.autmog.com/products/38-copper-ballpoint-iso-g2-parker-round-nose,Twist,Unknown,Clipless,
7188461748411,38 Copper - ISO G2 (Parker),https://www.autmog.com/products/38-copper-iso-g2-parker,Twist,Unknown,Clipless,
7695370453179,38 Twist Action - 110 Copper - Pentel Energel 0.5mm Needle Nose,https://www.autmog.com/products/38-twist-action-110-copper-pentel-energel-0-5mm-needle-nose,Twist,Unknown,Clipped,
7219738935483,38 Twist Action - Pre Order - 110 Copper - Pentel Energel 0.5mm Needle Nose,https://www.autmog.com/products/38-copper-rollerball-pilot-g2,Twist,Unknown,Clipped,
7576396103867,47 - 464 Brass - Twist Action -  ISO G2 (Parker),https://www.autmog.com/products/47-464-brass-twist-action-iso-g2-parker,Twist,Unknown,Clipless,
7572527939771,47 - 6061 Aluminum - Twist Action -  ISO G2 (Parker),https://www.autmog.com/products/47-aluminum-twist-action-iso-g2-parker,Twist,Unknown,Clipless,
8383420301499,55 Clipless Twist Pen - 6Al-4V Titanium Body - C63000 Bronze Top - Triple Bevel Nose - OHTO Ceramic ISO G2,https://www.autmog.com/products/55-clipless-twist-pen-6al-4v-titanium-body-triple-bevel-nose-ohto-ceramic-iso-g2,Twist,Clipless,Clipless,
7357869162683,36 Click Pen - 464 Brass,https://www.autmog.com/products/36-click-pen-464-brass,Click,Unknown,Clipless,
7528457437371,36 Click Pen - 6Al-4V Titanium - Rollerball (Pilot G2) - Round Nose,https://www.autmog.com/products/36-click-pen-464-brass-rollerball-pilot-g2-round-nose,Click,Unknown,Clipless,
7203252797627,38 Brass Round Tip - Rollerball (Pilot G2),https://www.autmog.com/products/38-brass-round-tip-rollerball-pilot-g2,Twist,Unknown,Clipless,
7283712524475,38 Copper Top - Brass Body - Rollerball Pilot G2,https://www.autmog.com/products/38-copper-top-brass-body-rollerball-pilot-g2,Twist,Unknown,Clipless,
7426342486203,42 Click Pen - 464 Brass,https://www.autmog.com/products/42-click-pen-464-brass,Click,Unknown,Clipped,Tapered
7444415742139,42 Click Pen - 6Al-4V Titanium,https://www.autmog.com/products/42-click-pen-6al-4v-titanium,Click,Unknown,Clipped,Tapered
7874510356667,47 Click Pen -  6Al-4V Titanium - Stepped Nose - Schmidt 9000 M ISO G2 (Parker),https://www.autmog.com/products/47-click-pen-6al4v-titanium-stepped-nose-schmidt-9000-m-iso-g2-parker,Click,Unknown,Clipless,
